Empleado ID,Mes,Ticket ID,Descripción,Fecha,Prioridad
4207      ,Ene  ,17936     ,TEST - 17936        ,2024-0-1  ,media     
4207      ,Ene  ,81369     ,TEST - 81369        ,2024-0-2  ,alta      
4207      ,Ene  ,96664     ,TEST - 96664        ,2024-0-3  ,alta      
4207      ,Ene  ,88208     ,TEST - 88208        ,2024-0-4  ,alta      
4207      ,Ene  ,90435     ,TEST - 90435        ,2024-0-5  ,baja      
4207      ,Feb  ,87943     ,TEST - 87943        ,2024-1-1  ,media     
4207      ,Feb  ,10899     ,TEST - 10899        ,2024-1-2  ,media     
4207      ,Feb  ,97661     ,TEST - 97661        ,2024-1-3  ,alta      
4207      ,Feb  ,99393     ,TEST - 99393        ,2024-1-4  ,media     
4207      ,Feb  ,27869     ,TEST - 27869        ,2024-1-5  ,alta      
4207      ,Mar  ,36191     ,TEST - 36191        ,2024-2-1  ,media     
4207      ,Mar  ,34605     ,TEST - 34605        ,2024-2-2  ,baja      
4207      ,Mar  ,73758     ,TEST - 73758        ,2024-2-3  ,baja      
4207      ,Mar  ,32549     ,TEST - 32549        ,2024-2-4  ,media     
4207      ,Mar  ,60739     ,TEST - 60739        ,2024-2-5  ,alta      
4207      ,Abr  ,95252     ,TEST - 95252        ,2024-3-1  ,alta      
4207      ,Abr  ,41711     ,TEST - 41711        ,2024-3-2  ,alta      
4207      ,Abr  ,74723     ,TEST - 74723        ,2024-3-3  ,media     
4207      ,Abr  ,24509     ,TEST - 24509        ,2024-3-4  ,baja      
4207      ,Abr  ,78226     ,TEST - 78226        ,2024-3-5  ,alta      
4207      ,May  ,23615     ,TEST - 23615        ,2024-4-1  ,media     
4207      ,May  ,66347     ,TEST - 66347        ,2024-4-2  ,media     
4207      ,May  ,41968     ,TEST - 41968        ,2024-4-3  ,alta      
4207      ,May  ,47499     ,TEST - 47499        ,2024-4-4  ,baja      
4207      ,May  ,41384     ,TEST - 41384        ,2024-4-5  ,baja      
4207      ,Jun  ,54069     ,TEST - 54069        ,2024-5-1  ,alta      
4207      ,Jun  ,49965     ,TEST - 49965        ,2024-5-2  ,media     
4207      ,Jun  ,53352     ,TEST - 53352        ,2024-5-3  ,alta      
4207      ,Jun  ,38883     ,TEST - 38883        ,2024-5-4  ,baja      
4207      ,Jun  ,52753     ,TEST - 52753        ,2024-5-5  ,baja      
4207      ,Jul  ,53745     ,TEST - 53745        ,2024-6-1  ,alta      
4207      ,Jul  ,54514     ,TEST - 54514        ,2024-6-2  ,baja      
4207      ,Jul  ,84286     ,TEST - 84286        ,2024-6-3  ,media     
4207      ,Jul  ,82002     ,TEST - 82002        ,2024-6-4  ,media     
4207      ,Jul  ,99677     ,TEST - 99677        ,2024-6-5  ,baja      
4207      ,Ago  ,32014     ,TEST - 32014        ,2024-7-1  ,baja      
4207      ,Ago  ,56494     ,TEST - 56494        ,2024-7-2  ,baja      
4207      ,Ago  ,27056     ,TEST - 27056        ,2024-7-3  ,baja      
4207      ,Ago  ,38022     ,TEST - 38022        ,2024-7-4  ,baja      
4207      ,Ago  ,95583     ,TEST - 95583        ,2024-7-5  ,baja      
4207      ,Sep  ,85235     ,TEST - 85235        ,2024-8-1  ,alta      
4207      ,Sep  ,31229     ,TEST - 31229        ,2024-8-2  ,media     
4207      ,Sep  ,31353     ,TEST - 31353        ,2024-8-3  ,alta      
4207      ,Sep  ,93839     ,TEST - 93839        ,2024-8-4  ,baja      
4207      ,Sep  ,99683     ,TEST - 99683        ,2024-8-5  ,baja      
4207      ,Oct  ,41925     ,TEST - 41925        ,2024-9-1  ,alta      
4207      ,Oct  ,75257     ,TEST - 75257        ,2024-9-2  ,alta      
4207      ,Oct  ,16001     ,TEST - 16001        ,2024-9-3  ,baja      
4207      ,Oct  ,31891     ,TEST - 31891        ,2024-9-4  ,alta      
4207      ,Oct  ,35846     ,TEST - 35846        ,2024-9-5  ,baja      
4207      ,Nov  ,87388     ,TEST - 87388        ,2024-10-1 ,media     
4207      ,Nov  ,64206     ,TEST - 64206        ,2024-10-2 ,alta      
